,Foreign_table,Foreign_key,Primary_table,Primary_key,F1,F2,F3,F4,F5,F6,F8,F9,F10
0,supplier,S_SUPPKEY,partsupp,PS_PARTKEY,1.0,0.986,0.5454545454545454,0.38461538461538464,1.0,0,0,1,80.0
1,supplier,S_SUPPKEY,partsupp,PS_SUPPKEY,1.0,1.0,0.5454545454545454,0.38461538461538464,0.5454545454545454,0,1,1,80.0
2,supplier,S_SUPPKEY,part,P_PARTKEY,1.0,0.986,0.5454545454545454,0.38461538461538464,1.0,0,0,1,20.0
3,supplier,S_SUPPKEY,lineitem,L_SUPPKEY,1.0,1.0,0.5454545454545454,0.38461538461538464,0.5454545454545454,0,1,1,601.75
4,supplier,S_SUPPKEY,customer,C_CUSTKEY,1.0,0.991,0.5454545454545454,0.38461538461538464,0.7272727272727273,0,0,1,15.0
5,nation,N_NATIONKEY,supplier,S_NATIONKEY,1.0,1.0,0.5454545454545454,0.15384615384615385,0.5454545454545454,0,1,1,4.0
6,nation,N_NATIONKEY,customer,C_NATIONKEY,1.0,1.0,0.5454545454545454,0.15384615384615385,0.5454545454545454,0,1,1,60.0
7,lineitem,L_LINENUMBER,supplier,S_SUPPKEY,0.0001163273784794,0.999,0.0,1.0,0.5454545454545454,0,0,0,0.0016618196925633
8,lineitem,L_LINENUMBER,supplier,S_NATIONKEY,0.0001163273784794,0.997,0.0,1.0,0.5454545454545454,0,0,0,0.0016618196925633
9,lineitem,L_LINENUMBER,partsupp,PS_PARTKEY,0.0001163273784794,0.988,0.0,1.0,1.0,0,0,0,0.1329455754050685
10,lineitem,L_LINENUMBER,partsupp,PS_SUPPKEY,0.0001163273784794,0.999,0.0,1.0,0.5454545454545454,0,0,0,0.1329455754050685
11,lineitem,L_LINENUMBER,partsupp,PS_AVAILQTY,0.0001163273784794,0.975,0.0,1.0,0.2727272727272727,0,0,0,0.1329455754050685
12,lineitem,L_LINENUMBER,part,P_PARTKEY,0.0001163273784794,0.988,0.0,1.0,1.0,0,0,0,0.0332363938512671
13,lineitem,L_LINENUMBER,part,P_SIZE,0.0001163273784794,0.998,0.0,1.0,0.18181818181818182,0,0,0,0.0332363938512671
14,lineitem,L_LINENUMBER,orders,O_ORDERKEY,0.0001163273784794,0.988,0.0,1.0,0.18181818181818182,0,0,0,0.2492729538845035
