PK - Section,PK - Table,PK - ColName,To,FK - Section,FK - Table,FK - ColName
,time,tm,,,fault,tm
,trfl,tf,,,fault,tf
,trfl,tf,,,fault_test,tf
,time,tm,,,fault_test,tm
,time,tm,,,gmt_mission_phase,tm
,time,tm,,,succ,tm1
,time,tm,,,succ,tm2
,class,cls,,,tm001_eod_relay,class
,time,tm,,,tm001_eod_relay,tm
,class,cls,,,tm002_battov_temp,class
,time,tm,,,tm002_battov_temp,tm
,time,tm,,,tm004_eoc_signaled,tm
,class,cls,,,tm004_eoc_signaled,class
,class,cls,,,tm007_switch,class
,time,tm,,,tm007_switch,tm
,class,cls,,,tm009_switch,class
,time,tm,,,tm009_switch,tm
,class,cls,,,tm011_eod_override,class
,time,tm,,,tm011_eod_override,tm
,class,cls,,,tm013_switch,class
,time,tm,,,tm013_switch,tm
,class,cls,,,tm015_eod_signaled,class
,time,tm,,,tm015_eod_signaled,tm
,class,cls,,,tm017_switch,class
,time,tm,,,tm017_switch,tm
,class,cls,,,tm018_switch,class
,time,tm,,,tm018_switch,tm
,class,cls,,,tm021_eoc_disabled,class
,time,tm,,,tm021_eoc_disabled,tm
,time,tm,,,tm022_switch,tm
,class,cls,,,tm022_switch,class
,class,cls,,,tm029_ovt_disabled,class
,time,tm,,,tm029_ovt_disabled,tm
,class,cls,,,tm031_switch,class
,time,tm,,,tm031_switch,tm
,class,cls,,,tm038_switch,class
,time,tm,,,tm038_switch,tm
,class,cls,,,tm039_eod_disabled,class
,time,tm,,,tm039_eod_disabled,tm
,class,cls,,,tm040_switch,class
,time,tm,,,tm040_switch,tm
,class,cls,,,tm042_switch,class
,time,tm,,,tm042_switch,tm
,class,cls,,,tm043_switch,class
,time,tm,,,tm043_switch,tm
,class,cls,,,tm054_supply_1a,class
,time,tm,,,tm054_supply_1a,tm
,class,cls,,,tm055_supply_1b,class
,time,tm,,,tm055_supply_1b,tm
,class,cls,,,tm057_supply_2c,class
,time,tm,,,tm057_supply_2c,tm
,class,cls,,,tm058_asr_or_switch_10,class
,time,tm,,,tm058_asr_or_switch_10,tm
,class,cls,,,tm070_supply_3c,class
,time,tm,,,tm070_supply_3c,tm
,class,cls,,,tm071_asr_or_switch_20,class
,time,tm,,,tm071_asr_or_switch_20,tm
,class,cls,,,tm211_bus_voltage,class
,time,tm,,,tm211_bus_voltage,tm
,class,cls,,,tm220_supply_1c,class
,time,tm,,,tm220_supply_1c,tm
,class,cls,,,tm222_charging,class
,time,tm,,,tm222_charging,tm
,class,cls,,,tm257_battery_voltage,class
,time,tm,,,tm257_battery_voltage,tm
