PK - Section,PK - Table,PK - ColName,To,FK - Section,FK - Table,FK - ColName
,ACCOUNT_TYPES,ACCTP_KEY,,,ACCOUNTS,ACCTP_KEY
,PRODUCTS,PROD_KEY,,,ACCOUNTS,PROD_KEY
,ORGANIZATIONS,ORG_KEY,,,ACCOUNTS,ORG_KEY
,ACCOUNT_TYPES,ACCTP_KEY,,,ACCOUNT_TRANSACTIONS,ACCTP_KEY
,ACCOUNTS,ACC_KEY,,,ACCOUNT_TRANSACTIONS,ACC_KEY
,ACCOUNT_TRANSACT_TYPES,ACTRNTP_KEY,,,ACCOUNT_TRANSACTIONS,ACTRNTP_KEY
,ACCOUNT_TYPES,ACCTP_KEY,,,ACCOUNT_TRANSACTIONS,ACCTP_OTHER_ACCOUNT_KEY
,ACCOUNTS,ACC_KEY,,,ACCOUNT_TRANSACTIONS,ACC_OTHER_ACCOUNT_KEY
,ORGANIZATIONS,ORG_KEY,,,PARTIES,ORG_KEY
,ACCOUNTS,ACC_KEY,,,target_churn,ACC_KEY
