PK - Section,PK - Table,PK - ColName,To,FK - Section,FK - Table,FK - ColName
,date_dim,d_date_sk,,,call_center,cc_closed_date_sk
,date_dim,d_date_sk,,,call_center,cc_open_date_sk
,date_dim,d_date_sk,,,catalog_page,cp_end_date_sk
,date_dim,d_date_sk,,,catalog_page,cp_start_date_sk
,customer_address,ca_address_sk,,,catalog_returns,cr_refunded_addr_sk
,customer_address,ca_address_sk,,,catalog_returns,cr_returning_addr_sk
,customer,c_customer_sk,,,catalog_returns,cr_refunded_customer_sk
,customer,c_customer_sk,,,catalog_returns,cr_returning_customer_sk
,call_center,cc_call_center_sk,,,catalog_returns,cr_call_center_sk
,customer_demographics,cd_demo_sk,,,catalog_returns,cr_refunded_cdemo_sk
,customer_demographics,cd_demo_sk,,,catalog_returns,cr_returning_cdemo_sk
,catalog_page,cp_catalog_page_sk,,,catalog_returns,cr_catalog_page_sk
,date_dim,d_date_sk,,,catalog_returns,cr_returned_date_sk
,household_demographics,hd_demo_sk,,,catalog_returns,cr_refunded_hdemo_sk
,household_demographics,hd_demo_sk,,,catalog_returns,cr_returning_hdemo_sk
,item,i_item_sk,,,catalog_returns,cr_item_sk
,reason,r_reason_sk,,,catalog_returns,cr_reason_sk
,ship_mode,sm_ship_mode_sk,,,catalog_returns,cr_ship_mode_sk
,time_dim,t_time_sk,,,catalog_returns,cr_returned_time_sk
,warehouse,w_warehouse_sk,,,catalog_returns,cr_warehouse_sk
,customer_address,ca_address_sk,,,catalog_sales,cs_bill_addr_sk
,customer,c_customer_sk,,,catalog_sales,cs_bill_customer_sk
,customer_demographics,cd_demo_sk,,,catalog_sales,cs_bill_cdemo_sk
,household_demographics,hd_demo_sk,,,catalog_sales,cs_bill_hdemo_sk
,call_center,cc_call_center_sk,,,catalog_sales,cs_call_center_sk
,catalog_page,cp_catalog_page_sk,,,catalog_sales,cs_catalog_page_sk
,date_dim,d_date_sk,,,catalog_sales,cs_ship_date_sk
,date_dim,d_date_sk,,,catalog_sales,cs_sold_date_sk
,item,i_item_sk,,,catalog_sales,cs_item_sk
,promotion,p_promo_sk,,,catalog_sales,cs_promo_sk
,customer_address,ca_address_sk,,,catalog_sales,cs_ship_addr_sk
,customer,c_customer_sk,,,catalog_sales,cs_ship_customer_sk
,customer_demographics,cd_demo_sk,,,catalog_sales,cs_ship_cdemo_sk
,household_demographics,hd_demo_sk,,,catalog_sales,cs_ship_hdemo_sk
,ship_mode,sm_ship_mode_sk,,,catalog_sales,cs_ship_mode_sk
,time_dim,t_time_sk,,,catalog_sales,cs_sold_time_sk
,warehouse,w_warehouse_sk,,,catalog_sales,cs_warehouse_sk
,customer_address,ca_address_sk,,,customer,c_current_addr_sk
,customer_demographics,cd_demo_sk,,,customer,c_current_cdemo_sk
,date_dim,d_date_sk,,,customer,c_first_sales_date_sk
,date_dim,d_date_sk,,,customer,c_first_shipto_date_sk
,household_demographics,hd_demo_sk,,,customer,c_current_hdemo_sk
,income_band,ib_income_band_sk,,,household_demographics,hd_income_band_sk
,date_dim,d_date_sk,,,inventory,inv_date_sk
,item,i_item_sk,,,inventory,inv_item_sk
,warehouse,w_warehouse_sk,,,inventory,inv_warehouse_sk
,date_dim,d_date_sk,,,promotion,p_end_date_sk
,item,i_item_sk,,,promotion,p_item_sk
,date_dim,d_date_sk,,,promotion,p_start_date_sk
,date_dim,d_date_sk,,,store,s_closed_date_sk
,customer_address,ca_address_sk,,,store_returns,sr_addr_sk
,customer,c_customer_sk,,,store_returns,sr_customer_sk
,customer_demographics,cd_demo_sk,,,store_returns,sr_cdemo_sk
,household_demographics,hd_demo_sk,,,store_returns,sr_hdemo_sk
,item,i_item_sk,,,store_returns,sr_item_sk
,reason,r_reason_sk,,,store_returns,sr_reason_sk
,date_dim,d_date_sk,,,store_returns,sr_returned_date_sk
,store,s_store_sk,,,store_returns,sr_store_sk
,time_dim,t_time_sk,,,store_returns,sr_return_time_sk
,customer_address,ca_address_sk,,,store_sales,ss_addr_sk
,customer,c_customer_sk,,,store_sales,ss_customer_sk
,customer_demographics,cd_demo_sk,,,store_sales,ss_cdemo_sk
,date_dim,d_date_sk,,,store_sales,ss_sold_date_sk
,household_demographics,hd_demo_sk,,,store_sales,ss_hdemo_sk
,item,i_item_sk,,,store_sales,ss_item_sk
,promotion,p_promo_sk,,,store_sales,ss_promo_sk
,store,s_store_sk,,,store_sales,ss_store_sk
,time_dim,t_time_sk,,,store_sales,ss_sold_time_sk
,date_dim,d_date_sk,,,web_page,wp_access_date_sk
,date_dim,d_date_sk,,,web_page,wp_creation_date_sk
