PK - Section,PK - Table,PK - ColName,To,FK - Section,FK - Table,FK - ColName
,E_CUSTOMER_ACCOUNT,CA_ID,,,E_ACCOUNT_PERMISSION,AP_CA_ID
,E_ZIP_CODE,ZC_CODE,,,E_ADDRESS,AD_ZC_CODE
,E_STATUS_TYPE,ST_ID,,,E_BROKER,B_ST_ID
,E_TRADE,T_ID,,,E_CASH_TRANSACTION,CT_T_ID
,E_TRADE_TYPE,TT_ID,,,E_CHARGE,CH_TT_ID
,E_EXCHANGE,EX_ID,,,E_COMMISSION_RATE,CR_EX_ID
,E_TRADE_TYPE,TT_ID,,,E_COMMISSION_RATE,CR_TT_ID
,E_ADDRESS,AD_ID,,,E_COMPANY,CO_AD_ID
,E_INDUSTRY,IN_ID,,,E_COMPANY,CO_IN_ID
,E_STATUS_TYPE,ST_ID,,,E_COMPANY,CO_ST_ID
,E_COMPANY,CO_ID,,,E_COMPANY_COMPETITOR,CP_COMP_CO_ID
,E_COMPANY,CO_ID,,,E_COMPANY_COMPETITOR,CP_CO_ID
,E_INDUSTRY,IN_ID,,,E_COMPANY_COMPETITOR,CP_IN_ID
,E_STATUS_TYPE,ST_ID,,,E_CUSTOMER,C_ST_ID
,E_ADDRESS,AD_ID,,,E_CUSTOMER,C_AD_ID
,E_BROKER,B_ID,,,E_CUSTOMER_ACCOUNT,CA_B_ID
,E_CUSTOMER,C_ID,,,E_CUSTOMER_ACCOUNT,CA_C_ID
,E_CUSTOMER,C_ID,,,E_CUSTOMER_TAXRATE,CX_C_ID
,E_TAXRATE,TX_ID,,,E_CUSTOMER_TAXRATE,CX_TX_ID
,E_SECURITY,S_SYMB,,,E_DAILY_MARKET,DM_S_SYMB
,E_ADDRESS,AD_ID,,,E_EXCHANGE,EX_AD_ID
,E_COMPANY,CO_ID,,,E_FINANCIAL,FI_CO_ID
,E_HOLDING_SUMMARY,HS_CA_ID,,,E_HOLDING,H_CA_ID
,E_HOLDING_SUMMARY,HS_S_SYMB,,,E_HOLDING,H_S_SYMB
,E_TRADE,T_ID,,,E_HOLDING,H_T_ID
,E_TRADE,T_ID,,,E_HOLDING_HISTORY,HH_T_ID
,E_HOLDING,H_T_ID,,,E_HOLDING_HISTORY,HH_H_T_ID
,E_CUSTOMER_ACCOUNT,CA_ID,,,E_HOLDING_SUMMARY,HS_CA_ID
,E_SECURITY,S_SYMB,,,E_HOLDING_SUMMARY,HS_S_SYMB
,E_SECTOR,SC_ID,,,E_INDUSTRY,IN_SC_ID
,E_SECURITY,S_SYMB,,,E_LAST_TRADE,LT_S_SYMB
,E_COMPANY,CO_ID,,,E_NEWS_XREF,NX_CO_ID
,E_NEWS_ITEM,NI_ID,,,E_NEWS_XREF,NX_NI_ID
,E_COMPANY,CO_ID,,,E_SECURITY,S_CO_ID
,E_EXCHANGE,EX_ID,,,E_SECURITY,S_EX_ID
,E_STATUS_TYPE,ST_ID,,,E_SECURITY,S_ST_ID
,E_TRADE,T_ID,,,E_SETTLEMENT,SE_T_ID
,E_CUSTOMER_ACCOUNT,CA_ID,,,E_TRADE,T_CA_ID
,E_STATUS_TYPE,ST_ID,,,E_TRADE,T_ST_ID
,E_SECURITY,S_SYMB,,,E_TRADE,T_S_SYMB
,E_TRADE_TYPE,TT_ID,,,E_TRADE,T_TT_ID
,E_STATUS_TYPE,ST_ID,,,E_TRADE_HISTORY,TH_ST_ID
,E_TRADE,T_ID,,,E_TRADE_HISTORY,TH_T_ID
,E_TRADE,T_ID,,,E_TRADE_REQUEST,TR_T_ID
,E_TRADE_TYPE,TT_ID,,,E_TRADE_REQUEST,TR_TT_ID
,E_SECURITY,S_SYMB,,,E_TRADE_REQUEST,TR_S_SYMB
,E_CUSTOMER_ACCOUNT,CA_ID,,,E_TRADE_REQUEST,TR_CA_ID
,E_SECURITY,S_SYMB,,,E_WATCH_ITEM,WI_S_SYMB
,E_WATCH_LIST,WL_ID,,,E_WATCH_ITEM,WI_WL_ID
,E_CUSTOMER,C_ID,,,E_WATCH_LIST,WL_C_ID
