client_id,account_id,province,country,event_timestamp
2584,A00000400,Alberta,Canada,2022-07-22 17:52:42.280778
3870,A00001330,Quebec,Canada,2022-07-18 00:00:38.280778
2213,A00003153,Quebec,Canada,2022-07-16 16:18:34.280778
2550,A00000403,Ontario,Canada,2022-07-23 03:49:04.280778
4781,A00001466,Quebec,Canada,2022-07-18 21:58:51.280778
1126,A00003789,Newfoundland & Labrador,Canada,2022-07-17 08:59:34.280778
4557,A00011320,Ontario,Canada,2022-07-16 16:06:31.280778
3269,A00005428,Alberta,Canada,2022-07-21 09:46:03.280778
4486,A00001464,Alberta,Canada,2022-07-18 00:17:08.280778
2669,A00000452,Ontario,Canada,2022-07-20 00:39:54.280778
11701,A00002671,Ontario,Canada,2022-07-24 18:13:42.280778
1350,A00001863,Alberta,Canada,2022-07-18 01:10:27.280778
360,A00009560,British Columbia,Canada,2022-07-16 18:35:24.280778
1665,A00000218,Ontario,Canada,2022-07-21 13:08:43.280778
569,A00000610,Alberta,Canada,2022-07-24 06:50:58.280778
5684,A00003131,British Columbia,Canada,2022-07-25 10:27:18.280778
3724,A00007828,British Columbia,Canada,2022-07-15 17:33:55.280778
2964,A00008899,British Columbia,Canada,2022-07-21 01:08:24.280778
1349,A00003147,Alberta,Canada,2022-07-19 18:30:05.280778
5376,A00000781,Ontario,Canada,2022-07-21 20:52:08.280778
11875,A00001970,Ontario,Canada,2022-07-15 08:27:20.280778
1997,A00001082,Ontario,Canada,2022-07-15 07:25:47.280778
4603,A00003784,Newfoundland & Labrador,Canada,2022-07-15 14:22:47.280778
3591,A00001504,Alberta,Canada,2022-07-24 05:40:11.280778
1493,A00007033,Newfoundland & Labrador,Canada,2022-07-20 21:54:37.280778
271,A00005445,Ontario,Canada,2022-07-16 04:55:39.280778
2470,A00008645,Newfoundland & Labrador,Canada,2022-07-15 10:01:00.280778
2518,A00000118,British Columbia,Canada,2022-07-24 12:17:46.280778
4675,A00000788,Alberta,Canada,2022-07-16 14:55:36.280778
674,A00001192,Quebec,Canada,2022-07-15 10:55:24.280778
4807,A00001927,British Columbia,Canada,2022-07-24 06:47:57.280778
3853,A00000325,Newfoundland & Labrador,Canada,2022-07-15 22:33:15.280778
1997,A00002656,Ontario,Canada,2022-07-16 06:52:45.280778
1158,A00000172,Quebec,Canada,2022-07-23 15:42:36.280778
4433,A00002360,Quebec,Canada,2022-07-24 00:24:23.280778
1340,A00000472,Alberta,Canada,2022-07-17 01:51:15.280778
3624,A00001574,British Columbia,Canada,2022-07-19 08:32:19.280778
3422,A00002435,Quebec,Canada,2022-07-17 10:20:19.280778
6987,A00003880,Alberta,Canada,2022-07-24 17:55:19.280778
4752,A00004259,Newfoundland & Labrador,Canada,2022-07-17 14:21:30.280778
1216,A00002560,Alberta,Canada,2022-07-19 23:43:27.280778
211,A00000250,British Columbia,Canada,2022-07-15 10:45:03.280778
632,A00000844,Alberta,Canada,2022-07-25 04:42:31.280778
2795,A00003684,British Columbia,Canada,2022-07-19 23:56:19.280778
3060,A00003479,Alberta,Canada,2022-07-18 08:05:14.280778
1348,A00001111,Quebec,Canada,2022-07-20 07:49:57.280778
2175,A00002690,Ontario,Canada,2022-07-25 17:16:54.280778
291,A00001625,Ontario,Canada,2022-07-16 10:24:20.280778
4134,A00001145,Quebec,Canada,2022-07-19 00:52:48.280778
506,A00000502,British Columbia,Canada,2022-07-18 08:13:43.280778
2882,A00000879,Quebec,Canada,2022-07-19 04:39:25.280778
1664,A00003916,Alberta,Canada,2022-07-25 00:41:13.280778
1956,A00002532,Ontario,Canada,2022-07-21 17:52:45.280778
1471,A00002386,British Columbia,Canada,2022-07-20 18:36:05.280778
2782,A00001100,British Columbia,Canada,2022-07-17 22:22:18.280778
4481,A00010942,Newfoundland & Labrador,Canada,2022-07-24 03:54:59.280778
11034,A00001374,British Columbia,Canada,2022-07-18 03:11:42.280778
2611,A00004346,Newfoundland & Labrador,Canada,2022-07-18 17:21:21.280778
11545,A00009883,Alberta,Canada,2022-07-15 02:37:39.280778
393,A00000204,Newfoundland & Labrador,Canada,2022-07-24 01:42:36.280778
4416,A00005429,Newfoundland & Labrador,Canada,2022-07-22 10:47:01.280778
1441,A00001067,Ontario,Canada,2022-07-19 23:09:42.280778
1339,A00001304,Newfoundland & Labrador,Canada,2022-07-16 22:52:58.280778
3691,A00003044,Newfoundland & Labrador,Canada,2022-07-19 08:33:12.280778
1349,A00001647,British Columbia,Canada,2022-07-17 08:11:47.280778
4695,A00010679,Ontario,Canada,2022-07-15 10:42:37.280778
2895,A00001152,Alberta,Canada,2022-07-17 07:02:14.280778
2642,A00007485,Ontario,Canada,2022-07-23 20:12:20.280778
1259,A00005181,Ontario,Canada,2022-07-25 06:25:27.280778
2308,A00005290,Ontario,Canada,2022-07-23 20:03:24.280778
1200,A00003157,Alberta,Canada,2022-07-16 04:47:43.280778
4089,A00001861,Alberta,Canada,2022-07-18 23:59:42.280778
6318,A00002287,Alberta,Canada,2022-07-22 17:08:03.280778
6366,A00000869,Ontario,Canada,2022-07-15 02:54:32.280778
3833,A00002424,British Columbia,Canada,2022-07-25 12:47:13.280778
1283,A00002675,Ontario,Canada,2022-07-16 05:14:39.280778
4423,A00003397,Alberta,Canada,2022-07-16 15:31:21.280778
3056,A00002054,Ontario,Canada,2022-07-19 09:48:28.280778
4748,A00001266,Newfoundland & Labrador,Canada,2022-07-20 06:35:12.280778
