disp_id,client_id,account_id,type,event_timestamp
D00000001,1,A00000001,Owner,2022-07-23 09:46:44.719715
D00000002,2,A00000002,Owner,2022-07-22 00:43:00.719715
D00000003,3,A00000002,User,2022-07-22 22:09:22.719715
D00000004,4,A00000003,Owner,2022-07-21 01:00:41.719715
D00000005,5,A00000003,User,2022-07-20 16:05:48.719715
D00000006,6,A00000004,Owner,2022-07-15 05:51:37.719715
D00000007,7,A00000005,Owner,2022-07-19 19:10:54.719715
D00000008,8,A00000006,Owner,2022-07-22 06:01:05.719715
D00000009,9,A00000007,Owner,2022-07-24 09:09:50.719715
D00000010,10,A00000008,Owner,2022-07-21 03:16:53.719715
D00000011,11,A00000008,User,2022-07-19 12:50:29.719715
D00000012,12,A00000009,Owner,2022-07-17 20:48:03.719715
D00000013,13,A00000010,Owner,2022-07-21 21:18:08.719715
D00000014,14,A00000011,Owner,2022-07-19 04:58:07.719715
D00000015,15,A00000012,Owner,2022-07-15 02:58:32.719715
D00000016,16,A00000012,User,2022-07-16 18:45:35.719715
D00000017,17,A00000013,Owner,2022-07-17 05:12:05.719715
D00000018,18,A00000013,User,2022-07-23 11:04:44.719715
D00000019,19,A00000014,Owner,2022-07-15 00:06:50.719715
D00000020,20,A00000015,Owner,2022-07-16 08:43:00.719715
D00000021,21,A00000016,Owner,2022-07-25 08:15:42.719715
D00000022,22,A00000017,Owner,2022-07-17 21:18:13.719715
D00000023,23,A00000017,User,2022-07-24 02:56:38.719715
D00000024,24,A00000018,Owner,2022-07-19 19:40:09.719715
D00000025,25,A00000019,Owner,2022-07-15 07:56:36.719715
D00000026,26,A00000020,Owner,2022-07-23 11:12:25.719715
D00000027,27,A00000021,Owner,2022-07-17 23:24:08.719715
D00000028,28,A00000022,Owner,2022-07-25 17:29:59.719715
D00000029,29,A00000023,Owner,2022-07-19 22:49:21.719715
D00000030,30,A00000024,Owner,2022-07-25 17:13:54.719715
D00000031,31,A00000025,Owner,2022-07-16 23:53:01.719715
D00000032,32,A00000026,Owner,2022-07-15 05:50:40.719715
D00000033,33,A00000027,Owner,2022-07-18 14:37:49.719715
D00000036,36,A00000029,Owner,2022-07-23 18:28:19.719715
D00000037,37,A00000029,User,2022-07-19 17:19:31.719715
D00000038,38,A00000030,Owner,2022-07-20 20:36:16.719715
D00000039,39,A00000031,Owner,2022-07-20 07:25:39.719715
D00000040,40,A00000032,Owner,2022-07-21 06:40:40.719715
D00000041,41,A00000033,Owner,2022-07-19 12:38:37.719715
D00000042,42,A00000034,Owner,2022-07-16 00:11:07.719715
D00000043,43,A00000035,Owner,2022-07-21 18:34:31.719715
D00000044,44,A00000036,Owner,2022-07-22 11:34:28.719715
D00000045,45,A00000037,Owner,2022-07-18 21:06:04.719715
D00000046,46,A00000038,Owner,2022-07-17 10:55:31.719715
D00000047,47,A00000039,Owner,2022-07-19 22:11:24.719715
D00000048,48,A00000040,Owner,2022-07-15 00:32:41.719715
D00000049,49,A00000041,Owner,2022-07-17 04:10:13.719715
D00000050,50,A00000042,Owner,2022-07-24 03:11:30.719715
D00000051,51,A00000043,Owner,2022-07-17 15:10:16.719715
D00000052,52,A00000044,Owner,2022-07-17 12:21:47.719715
D00000053,53,A00000045,Owner,2022-07-23 23:16:23.719715
D00000055,55,A00000047,Owner,2022-07-19 13:35:40.719715
D00000056,56,A00000048,Owner,2022-07-16 06:29:14.719715
D00000057,57,A00000048,User,2022-07-23 21:16:19.719715
D00000058,58,A00000049,Owner,2022-07-19 21:33:18.719715
D00000059,59,A00000050,Owner,2022-07-19 19:47:15.719715
D00000060,60,A00000051,Owner,2022-07-23 06:42:35.719715
D00000061,61,A00000052,Owner,2022-07-18 13:43:09.719715
D00000062,62,A00000053,Owner,2022-07-22 04:53:45.719715
D00000063,63,A00000054,Owner,2022-07-18 05:27:19.719715
D00000064,64,A00000055,Owner,2022-07-19 02:24:32.719715
D00000065,65,A00000056,Owner,2022-07-16 07:32:20.719715
D00000066,66,A00000057,Owner,2022-07-24 20:53:52.719715
D00000067,67,A00000058,Owner,2022-07-17 16:16:17.719715
D00000068,68,A00000059,Owner,2022-07-24 02:18:46.719715
D00000070,70,A00000061,Owner,2022-07-20 09:32:46.719715
D00000071,71,A00000061,User,2022-07-24 22:05:55.719715
D00000072,72,A00000062,Owner,2022-07-22 07:02:17.719715
D00000073,73,A00000063,Owner,2022-07-19 10:13:15.719715
D00000074,74,A00000063,User,2022-07-17 13:06:54.719715
D00000075,75,A00000064,Owner,2022-07-18 18:16:26.719715
D00000076,76,A00000065,Owner,2022-07-25 08:37:14.719715
D00000077,77,A00000066,Owner,2022-07-22 06:22:35.719715
D00000078,78,A00000067,Owner,2022-07-21 02:57:06.719715
D00000079,79,A00000068,Owner,2022-07-24 14:33:37.719715
D00000080,80,A00000069,Owner,2022-07-21 23:14:08.719715
D00000081,81,A00000070,Owner,2022-07-25 20:46:22.719715
D00000082,82,A00000070,User,2022-07-15 14:36:14.719715
D00000083,83,A00000071,Owner,2022-07-19 05:42:30.719715
D00000084,84,A00000071,User,2022-07-21 00:20:46.719715
D00000085,85,A00000072,Owner,2022-07-15 01:18:31.719715
D00000086,86,A00000072,User,2022-07-15 11:24:28.719715
D00000087,87,A00000073,Owner,2022-07-21 08:06:06.719715
D00000089,89,A00000075,Owner,2022-07-18 21:44:26.719715
D00000090,90,A00000076,Owner,2022-07-17 01:07:17.719715
D00000091,91,A00000077,Owner,2022-07-19 20:16:49.719715
D00000092,92,A00000078,Owner,2022-07-25 06:38:27.719715
D00000093,93,A00000079,Owner,2022-07-21 04:14:06.719715
D00000094,94,A00000080,Owner,2022-07-17 00:31:12.719715
D00000095,95,A00000080,User,2022-07-15 18:35:01.719715
D00000096,96,A00000081,Owner,2022-07-20 17:22:59.719715
D00000097,97,A00000082,Owner,2022-07-24 08:23:15.719715
D00000098,98,A00000083,Owner,2022-07-18 10:49:08.719715
D00000099,99,A00000083,User,2022-07-20 08:11:22.719715
D00000100,100,A00000084,Owner,2022-07-22 13:08:31.719715
D00000101,101,A00000085,Owner,2022-07-18 23:15:21.719715
D00000102,102,A00000086,Owner,2022-07-19 15:09:09.719715
D00000103,103,A00000086,User,2022-07-20 09:34:10.719715
D00000105,105,A00000088,Owner,2022-07-25 00:17:11.719715
D00000106,106,A00000089,Owner,2022-07-15 08:38:16.719715
D00000107,107,A00000090,Owner,2022-07-22 11:41:04.719715
D00000108,108,A00000091,Owner,2022-07-24 07:00:14.719715
D00000110,110,A00000093,Owner,2022-07-16 00:02:33.719715
D00000112,112,A00000095,Owner,2022-07-22 17:33:13.719715
D00000113,113,A00000095,User,2022-07-21 22:26:27.719715
D00000114,114,A00000096,Owner,2022-07-18 05:47:26.719715
D00000115,115,A00000096,User,2022-07-17 14:16:14.719715
D00000116,116,A00000097,Owner,2022-07-16 16:21:50.719715
D00000117,117,A00000097,User,2022-07-18 00:50:40.719715
D00000118,118,A00000098,Owner,2022-07-21 08:39:26.719715
D00000119,119,A00000098,User,2022-07-15 15:45:01.719715
D00000120,120,A00000099,Owner,2022-07-18 02:25:13.719715
D00000121,121,A00000100,Owner,2022-07-16 18:48:18.719715
D00000122,122,A00000101,Owner,2022-07-25 06:58:55.719715
D00000123,123,A00000102,Owner,2022-07-25 14:15:19.719715
D00000124,124,A00000103,Owner,2022-07-16 10:01:18.719715
D00000125,125,A00000104,Owner,2022-07-18 22:04:51.719715
D00000126,126,A00000104,User,2022-07-15 22:12:27.719715
D00000127,127,A00000105,Owner,2022-07-24 04:47:06.719715
D00000128,128,A00000106,Owner,2022-07-22 12:53:28.719715
D00000129,129,A00000107,Owner,2022-07-20 20:16:52.719715
D00000130,130,A00000108,Owner,2022-07-19 05:48:46.719715
D00000131,131,A00000109,Owner,2022-07-15 21:20:02.719715
D00000132,132,A00000110,Owner,2022-07-15 00:16:56.719715
D00000134,134,A00000112,Owner,2022-07-18 19:27:36.719715
D00000135,135,A00000112,User,2022-07-18 19:23:04.719715
D00000136,136,A00000113,Owner,2022-07-24 06:07:44.719715
D00000137,137,A00000114,Owner,2022-07-19 19:54:35.719715
D00000138,138,A00000115,Owner,2022-07-18 00:28:10.719715
D00000139,139,A00000116,Owner,2022-07-15 08:53:07.719715
D00000140,140,A00000116,User,2022-07-20 18:47:49.719715
D00000141,141,A00000117,Owner,2022-07-16 01:41:32.719715
D00000142,142,A00000118,Owner,2022-07-15 20:15:20.719715
D00000143,143,A00000119,Owner,2022-07-24 05:47:48.719715
D00000144,144,A00000120,Owner,2022-07-17 05:10:27.719715
D00000145,145,A00000121,Owner,2022-07-15 22:00:36.719715
D00000146,146,A00000122,Owner,2022-07-24 03:33:07.719715
D00000147,147,A00000123,Owner,2022-07-25 01:03:00.719715
D00000148,148,A00000123,User,2022-07-18 16:36:23.719715
D00000149,149,A00000124,Owner,2022-07-21 20:05:56.719715
D00000150,150,A00000125,Owner,2022-07-20 06:12:07.719715
D00000151,151,A00000126,Owner,2022-07-23 20:22:56.719715
D00000152,152,A00000127,Owner,2022-07-17 18:50:40.719715
D00000153,153,A00000128,Owner,2022-07-16 05:43:00.719715
D00000154,154,A00000129,Owner,2022-07-19 12:31:50.719715
D00000155,155,A00000129,User,2022-07-17 15:04:01.719715
D00000156,156,A00000130,Owner,2022-07-20 11:47:45.719715
D00000157,157,A00000131,Owner,2022-07-24 07:46:23.719715
D00000158,158,A00000132,Owner,2022-07-19 22:35:25.719715
D00000159,159,A00000132,User,2022-07-25 03:59:32.719715
D00000160,160,A00000133,Owner,2022-07-20 16:25:31.719715
D00000161,161,A00000134,Owner,2022-07-24 13:48:14.719715
D00000162,162,A00000135,Owner,2022-07-22 15:12:42.719715
D00000163,163,A00000136,Owner,2022-07-16 21:45:04.719715
D00000164,164,A00000137,Owner,2022-07-21 04:35:55.719715
D00000165,165,A00000138,Owner,2022-07-18 16:53:36.719715
D00000166,166,A00000138,User,2022-07-20 04:29:58.719715
D00000167,167,A00000139,Owner,2022-07-17 07:19:38.719715
D00000168,168,A00000140,Owner,2022-07-15 18:06:08.719715
D00000169,169,A00000141,Owner,2022-07-22 05:57:37.719715
D00000170,170,A00000141,User,2022-07-20 12:09:49.719715
D00000171,171,A00000142,Owner,2022-07-17 16:41:35.719715
D00000172,172,A00000142,User,2022-07-22 22:02:03.719715
D00000173,173,A00000143,Owner,2022-07-24 04:48:34.719715
D00000174,174,A00000144,Owner,2022-07-15 12:52:12.719715
D00000175,175,A00000145,Owner,2022-07-23 01:00:05.719715
D00000176,176,A00000146,Owner,2022-07-19 06:44:24.719715
D00000178,178,A00000148,Owner,2022-07-19 07:06:26.719715
D00000179,179,A00000149,Owner,2022-07-24 19:26:16.719715
D00000180,180,A00000150,Owner,2022-07-19 01:21:35.719715
D00000181,181,A00000151,Owner,2022-07-20 15:11:54.719715
D00000182,182,A00000151,User,2022-07-15 07:28:49.719715
D00000183,183,A00000152,Owner,2022-07-18 02:59:07.719715
D00000184,184,A00000152,User,2022-07-16 08:54:45.719715
D00000185,185,A00000153,Owner,2022-07-16 14:02:44.719715
D00000186,186,A00000154,Owner,2022-07-20 09:31:30.719715
D00000187,187,A00000155,Owner,2022-07-23 05:17:17.719715
D00000188,188,A00000156,Owner,2022-07-15 00:16:02.719715
D00000189,189,A00000157,Owner,2022-07-17 04:57:36.719715
D00000190,190,A00000158,Owner,2022-07-17 03:56:31.719715
D00000191,191,A00000158,User,2022-07-22 09:17:42.719715
D00000192,192,A00000159,Owner,2022-07-16 13:36:36.719715
D00000193,193,A00000160,Owner,2022-07-21 05:48:31.719715
D00000194,194,A00000161,Owner,2022-07-19 14:55:03.719715
D00000195,195,A00000162,Owner,2022-07-19 20:23:26.719715
D00000196,196,A00000162,User,2022-07-19 21:10:35.719715
D00000197,197,A00000163,Owner,2022-07-15 15:14:52.719715
D00000198,198,A00000164,Owner,2022-07-25 14:46:36.719715
D00000199,199,A00000165,Owner,2022-07-17 16:01:57.719715
D00000200,200,A00000165,User,2022-07-22 02:51:38.719715
D00000201,201,A00000166,Owner,2022-07-20 07:44:36.719715
D00000202,202,A00000167,Owner,2022-07-19 05:22:46.719715
D00000203,203,A00000168,Owner,2022-07-20 11:24:52.719715
D00000204,204,A00000168,User,2022-07-24 22:47:55.719715
D00000205,205,A00000169,Owner,2022-07-20 09:06:01.719715
D00000206,206,A00000170,Owner,2022-07-19 08:03:12.719715
D00000207,207,A00000171,Owner,2022-07-19 18:53:23.719715
D00000208,208,A00000172,Owner,2022-07-24 20:43:28.719715
D00000209,209,A00000172,User,2022-07-15 22:03:22.719715
D00000210,210,A00000173,Owner,2022-07-22 02:52:11.719715
D00000211,211,A00000173,User,2022-07-16 03:19:35.719715
D00000212,212,A00000174,Owner,2022-07-23 15:43:31.719715
D00000215,215,A00000176,Owner,2022-07-21 14:28:37.719715
D00000216,216,A00000177,Owner,2022-07-22 10:16:03.719715
D00000217,217,A00000178,Owner,2022-07-25 12:00:23.719715
D00000218,218,A00000179,Owner,2022-07-15 15:56:55.719715
D00000219,219,A00000180,Owner,2022-07-25 14:32:18.719715
D00000221,221,A00000181,Owner,2022-07-20 02:38:48.719715
D00000222,222,A00000182,Owner,2022-07-22 01:05:34.719715
D00000223,223,A00000183,Owner,2022-07-22 22:01:57.719715
D00000224,224,A00000184,Owner,2022-07-22 16:07:04.719715
D00000225,225,A00000185,Owner,2022-07-16 22:59:47.719715
D00000226,226,A00000186,Owner,2022-07-18 08:14:22.719715
D00000227,227,A00000187,Owner,2022-07-25 17:12:33.719715
D00000228,228,A00000188,Owner,2022-07-24 13:11:39.719715
D00000229,229,A00000189,Owner,2022-07-25 01:13:26.719715
D00000230,230,A00000190,Owner,2022-07-23 13:48:20.719715
D00000231,231,A00000191,Owner,2022-07-22 15:00:13.719715
D00000232,232,A00000192,Owner,2022-07-23 18:10:23.719715
D00000233,233,A00000193,Owner,2022-07-24 20:27:56.719715
D00000234,234,A00000193,User,2022-07-20 13:04:42.719715
D00000235,235,A00000194,Owner,2022-07-16 06:28:54.719715
D00000236,236,A00000195,Owner,2022-07-22 15:43:00.719715
D00000237,237,A00000195,User,2022-07-25 00:17:36.719715
D00000238,238,A00000196,Owner,2022-07-19 04:27:49.719715
